Age,Experience,Education_Years,Skills,Job_Role,Salary_LPA
31,6,12,1,Data Analyst,9.55
24,3,16,1,Web Developer,8.96
36,10,14,3,Data Analyst,12.58
32,7,16,2,Data Analyst,10.58
31,4,12,5,Data Scientist,9.7
29,6,12,10,Software Engineer,10.73
33,9,14,6,Web Developer,13.06
23,2,16,7,Data Scientist,10.22
30,6,16,4,Data Scientist,14.13
37,10,14,7,Web Developer,12.66
35,10,16,8,Data Analyst,16.75
32,7,16,1,Data Scientist,11.92
32,4,12,6,Data Analyst,7.56
30,3,16,8,Software Engineer,9.83
28,7,16,5,Data Analyst,14.15
35,7,14,4,Software Engineer,11.91
25,2,14,2,Data Analyst,7.53
33,5,18,6,Data Scientist,13.17
26,4,12,6,Data Scientist,10.41
22,1,16,1,Software Engineer,6.89
29,7,16,9,Web Developer,12.95
32,5,18,6,Software Engineer,12.84
27,1,16,3,Software Engineer,9.58
26,4,12,4,Data Analyst,6.43
23,0,18,4,Data Analyst,9.01
37,9,12,3,Software Engineer,13.03
31,5,18,10,Data Scientist,13.98
36,8,18,3,Data Analyst,12.6
22,0,14,3,Web Developer,6.49
38,10,12,4,Data Analyst,13.03
37,10,16,7,Data Analyst,13.42
35,9,16,4,Web Developer,13.51
29,2,12,9,Software Engineer,9.89
28,6,16,1,Web Developer,11.01
30,3,16,8,Software Engineer,10.02
31,8,12,7,Software Engineer,11.41
24,2,18,2,Software Engineer,8.77
26,4,12,8,Web Developer,12.25
24,2,18,1,Software Engineer,7.31
27,6,16,9,Data Scientist,13.31
32,4,16,9,Web Developer,11.04
29,8,16,2,Data Scientist,13.78
27,6,14,7,Software Engineer,11.75
24,1,18,10,Data Analyst,11.67
29,3,14,3,Software Engineer,7.85
36,8,14,7,Data Scientist,14.44
28,1,12,10,Data Scientist,9.45
34,9,14,9,Web Developer,12.9
30,8,12,4,Data Analyst,9.86
36,9,12,1,Web Developer,11.27
26,4,14,2,Data Scientist,12.01
24,1,18,1,Software Engineer,8.5
25,3,18,5,Data Analyst,9.99
27,6,18,5,Software Engineer,12.93
35,7,18,7,Software Engineer,13.84
27,2,18,9,Data Analyst,11.33
24,0,14,9,Web Developer,6.44
25,3,14,3,Software Engineer,7.34
28,1,16,3,Data Scientist,7.32
28,7,18,3,Software Engineer,13.18
27,3,14,4,Data Analyst,9.31
26,1,16,8,Data Analyst,8.69
29,5,18,6,Data Analyst,11.33
26,5,12,8,Web Developer,10.21
37,9,16,1,Software Engineer,13.59
31,3,14,8,Web Developer,9.78
31,5,12,4,Web Developer,10.08
29,1,12,1,Data Analyst,4.35
35,9,12,8,Data Analyst,10.71
25,1,16,4,Web Developer,6.8
32,9,14,6,Software Engineer,12.93
30,3,12,8,Data Scientist,11.08
34,7,18,4,Web Developer,11.63
30,6,12,3,Software Engineer,8.37
30,8,12,9,Data Analyst,11.98
29,7,16,3,Data Analyst,10.21
32,4,16,9,Software Engineer,13.24
28,1,14,2,Data Scientist,8.42
31,4,18,2,Data Analyst,10.55
33,7,16,2,Data Analyst,11.99
32,9,12,6,Data Analyst,13.39
29,8,14,3,Software Engineer,13.58
30,8,12,9,Web Developer,11.71
27,0,12,4,Data Analyst,3.88
34,8,16,1,Web Developer,10.8
31,6,14,4,Data Scientist,12.15
34,8,18,1,Data Analyst,10.09
29,7,18,5,Data Analyst,14.04
22,0,16,4,Data Scientist,6.5
33,7,16,8,Data Analyst,13.55
28,7,14,8,Web Developer,11.78
34,10,18,7,Software Engineer,16.64
24,2,18,3,Web Developer,7.88
26,0,18,1,Software Engineer,7.57
34,7,12,1,Software Engineer,10.03
28,2,18,3,Web Developer,7.79
25,2,12,6,Web Developer,6.1
24,0,14,7,Web Developer,7.98
35,10,12,6,Web Developer,13.37
25,4,14,6,Data Scientist,11.41
37,9,18,6,Data Analyst,13.77
31,6,18,3,Software Engineer,12.12
33,9,14,6,Web Developer,11.96
32,8,16,8,Web Developer,12.91
30,6,14,2,Web Developer,8.49
33,8,16,5,Data Scientist,16.24
34,7,12,1,Web Developer,8.74
25,1,12,1,Web Developer,4.12
26,0,12,5,Web Developer,3.92
31,6,18,3,Data Analyst,10.88
34,6,12,4,Data Scientist,11.01
31,7,16,3,Web Developer,11.35
30,4,12,1,Software Engineer,7.6
29,2,14,1,Software Engineer,5.85
30,7,14,5,Software Engineer,10.69
32,5,18,6,Data Scientist,14.03
38,10,14,3,Data Scientist,14.83
26,2,16,9,Software Engineer,10.8
28,0,12,5,Web Developer,6.03
27,2,18,8,Data Scientist,11.75
